Image,Benign_Probability,Malignant_Probability,Prediction
000af35befdd9ab2e24fac80fb6508dfd1edd172.tif,0.40002,0.59998,Malignant
0066c329c4e019ffb2af34f732371c6802d25711.tif,0.434913,0.565087,Malignant
0153c8a280c34e8277103597c017bbb6a71da87b.tif,0.427102,0.572898,Malignant
01c605bf8c5b069ae053b0c66d67de1d4d7e001f.tif,0.398969,0.601031,Malignant
0200ffeb1555344b9225b7792469d42a5b094c71.tif,0.413887,0.586113,Malignant
020f05e750b1a5fd9ae61ab66547a1c1f9e18fc4.tif,0.408497,0.591503,Malignant
021422207bc47aca25f2510cd184464b5cff7a09.tif,0.416356,0.583644,Malignant
021d2287ff07a5547a574b41d32997e40d0130da.tif,0.420505,0.579495,Malignant
026a90867029b4d9aa500a0a8db303d58345a9ad.tif,0.394334,0.605666,Malignant
02e192833cbcdfd80059200f90d470d79e399496.tif,0.408669,0.591331,Malignant
03178e4a972c19bed731fad561d0f5be5ce11d5f.tif,0.427825,0.572175,Malignant
033d67c682e72ad44245c7516afdc4803e7492ac.tif,0.423098,0.576902,Malignant
03ab32e57962657c8796052500c1c0ec7a774220.tif,0.424401,0.575599,Malignant
03d74717e79e9a2c3977bc4f609406c6b1363f01.tif,0.409562,0.590438,Malignant
03def5f606aaa487cd3476faa70221162abdacdd.tif,0.401829,0.598171,Malignant
03e690d84f422b803ef7bd0d743383150c391133.tif,0.415172,0.584828,Malignant
042c878e0f7b24dc4cda50277f32883370770ff8.tif,0.436348,0.563652,Malignant
043ba444f3669f0ffe495cc0f26ffad792985d46.tif,0.415778,0.584222,Malignant
044fa776babfff8efa697a7cdbbbefe166a6eb7a.tif,0.410613,0.589387,Malignant
0534df53d72cb7d758ac2d9e4989992c87c12d2b.tif,0.42097,0.57903,Malignant
054f348d4ee51276c1503bdb61a02c780843367d.tif,0.417465,0.582535,Malignant
05552402b2fa2cf9f09c50eb3441e17a31b97b97.tif,0.41181,0.58819,Malignant
058cc1064eef4e019696f722ac0a77458a3421b2.tif,0.418142,0.581858,Malignant
058fc98ff6439f35693841f085bbbad9ba8671e5.tif,0.421834,0.578166,Malignant
068a9d66ab0e9d2a24b04d3db0ec478ba4de1165.tif,0.417821,0.582179,Malignant
069e2b73c093826d5b73e0c981faeff60d19c4ba.tif,0.408231,0.591769,Malignant
06a92cb1558d4145bd57d70941268c8fca7d5997.tif,0.415548,0.584452,Malignant
06b90b8bf185eb9164dda421977b88efed44fb82.tif,0.409595,0.590405,Malignant
06c2ded9c35ca55d406095128cf83cb7b330ef00.tif,0.424156,0.575844,Malignant
070e5cd45a4b4535842badbb2366aab42f3eef62.tif,0.411003,0.588997,Malignant
0728059ebfb12b84bee0bb6e3f767cb8f415ee5e.tif,0.4169,0.5831,Malignant
087a3a7274ff1abbe7334066383da7c991175f29.tif,0.437676,0.562324,Malignant
094851ecf62a78c362d8b77378459b8c5a983963.tif,0.416279,0.583721,Malignant
09b7480e5563df72397c4531de352bb3c9eb38ec.tif,0.418108,0.581892,Malignant
0a47d6fe9aff52683bf96447cc0c7649fa1ab98e.tif,0.413691,0.586309,Malignant
0a6a7b37afebca9f4ce0182be2a061d22d8a788c.tif,0.412164,0.587836,Malignant
0abb0ab939677011d23a24fafaff8522cd8c4252.tif,0.402476,0.597524,Malignant
0ae92e7bf60242c790d56b226f6745c05e9036b4.tif,0.418351,0.581649,Malignant
0b31156efec21e674a8ae37def3b4becef735edd.tif,0.44249,0.55751,Malignant
0bc84e817e46929c26a1c7d1bedb3318445ee6a6.tif,0.408228,0.591772,Malignant
0bd1ad80db9d62f7ce82576df1e97b1ec72afb4a.tif,0.418507,0.581493,Malignant
0c861ab0b7346b1a6139f6eafd3408ee9ba43c2a.tif,0.419017,0.580983,Malignant
0ca581b80579590aab911d4df50e129f1323ecfb.tif,0.414683,0.585317,Malignant
